tanggal,Kabupaten Bangkalan,Kabupaten Banyuwangi,Kabupaten Blitar,Kabupaten Bojonegoro,Kabupaten Bondowoso,Kabupaten Gresik,Kabupaten Jember,Kabupaten Jombang,Kabupaten Kediri,Kabupaten Lamongan,Kabupaten Lumajang,Kabupaten Madiun,Kabupaten Magetan,Kabupaten Malang,Kabupaten Mojokerto,Kabupaten Nganjuk,Kabupaten Ngawi,Kabupaten Pacitan,Kabupaten Pamekasan,Kabupaten Pasuruan,Kabupaten Ponorogo,Kabupaten Probolinggo,Kabupaten Sampang,Kabupaten Sidoarjo,Kabupaten Situbondo,Kabupaten Sumenep,Kabupaten Trenggalek,Kabupaten Tuban,Kabupaten Tulungagung,Kota Batu,Kota Blitar,Kota Kediri,Kota Madiun,Kota Malang,Kota Mojokerto,Kota Pasuruan,Kota Probolinggo,Kota Surabaya
2024-01-01,58667.0,65400.0,69000.0,65000.0,59625.0,74333.0,64200.0,70000.0,62667.0,76250.0,75000.0,69000.0,63667.0,78000.0,64125.0,64333.0,66000.0,71667.0,90000.0,70767.0,80000.0,86667.0,82500.0,62500.0,63667.0,80000.0,65000.0,73333.0,59333.0,77500.0,57500.0,63333.0,67333.0,65000.0,73000.0,75100.0,63000.0,62000.0
2024-01-02,58000.0,66000.0,70000.0,75000.0,59500.0,77333.0,62600.0,68333.0,67333.0,73750.0,75667.0,81500.0,76667.0,75000.0,61375.0,70000.0,81667.0,71667.0,87500.0,71667.0,80000.0,70000.0,82500.0,65000.0,64000.0,77500.0,66000.0,75000.0,66333.0,77500.0,60000.0,65667.0,76333.0,63333.0,76500.0,72000.0,56667.0,59667.0
2024-01-03,58000.0,63800.0,70000.0,75000.0,59750.0,76667.0,59800.0,66333.0,63667.0,70000.0,70667.0,68750.0,76667.0,74000.0,70250.0,61667.0,74000.0,70667.0,87500.0,72333.0,80000.0,70000.0,82500.0,67500.0,63000.0,77500.0,65000.0,76000.0,63000.0,77000.0,60000.0,65000.0,71333.0,62167.0,67000.0,73350.0,56667.0,57000.0
2024-01-04,58000.0,56800.0,66000.0,75000.0,55375.0,65000.0,56200.0,65000.0,56333.0,70000.0,70667.0,61000.0,76667.0,70000.0,65000.0,56667.0,66000.0,69000.0,87500.0,71667.0,80000.0,70000.0,82500.0,57500.0,63333.0,65000.0,58000.0,75000.0,56333.0,77000.0,57000.0,60000.0,71333.0,62167.0,67500.0,70250.0,55000.0,55000.0
2024-01-05,57333.0,48200.0,52000.0,75000.0,55375.0,65000.0,47000.0,49667.0,48333.0,70000.0,70667.0,49000.0,76667.0,68000.0,59250.0,46667.0,66000.0,67333.0,87500.0,70667.0,57500.0,70000.0,82500.0,57500.0,60667.0,62500.0,50500.0,66667.0,50000.0,72000.0,45000.0,46333.0,66667.0,62167.0,65000.0,68650.0,53333.0,51333.0
2024-01-06,57333.0,47200.0,52000.0,75000.0,55375.0,65000.0,46600.0,47667.0,48333.0,70000.0,60000.0,49250.0,76667.0,68000.0,51750.0,45333.0,55000.0,67333.0,85000.0,56000.0,57500.0,70000.0,82500.0,55000.0,60000.0,62500.0,50500.0,66000.0,43333.0,72000.0,47000.0,50333.0,64000.0,62167.0,54000.0,58200.0,51667.0,50833.0
2024-01-07,57333.0,47000.0,52000.0,75000.0,55250.0,65000.0,44000.0,47667.0,46667.0,70000.0,60000.0,49250.0,76667.0,68000.0,51625.0,44000.0,55000.0,61333.0,85000.0,55000.0,57500.0,70000.0,82500.0,57500.0,53333.0,62500.0,50500.0,66000.0,44000.0,72000.0,47500.0,48667.0,64000.0,62167.0,55000.0,53200.0,50000.0,50500.0
2024-01-08,45667.0,45400.0,42000.0,57500.0,42500.0,61667.0,41000.0,46667.0,48333.0,57500.0,63333.0,49750.0,56667.0,55000.0,43500.0,44000.0,55667.0,51667.0,80000.0,56000.0,57500.0,70000.0,82500.0,47500.0,45000.0,57500.0,46000.0,60000.0,47333.0,70750.0,44000.0,49000.0,62000.0,62167.0,50000.0,53900.0,43333.0,46000.0
2024-01-09,45667.0,43000.0,42000.0,57500.0,42500.0,59000.0,40600.0,46667.0,48333.0,57500.0,63333.0,47250.0,56667.0,49500.0,36000.0,43333.0,54000.0,51667.0,80000.0,48333.0,52500.0,70000.0,65000.0,47500.0,45000.0,52500.0,45500.0,60000.0,46000.0,63250.0,44000.0,48667.0,52000.0,59667.0,49000.0,48150.0,45000.0,43500.0
2024-01-10,45667.0,40600.0,39000.0,57500.0,41250.0,52333.0,39200.0,42333.0,45000.0,50500.0,63333.0,46750.0,51333.0,45900.0,35000.0,43000.0,50667.0,51667.0,77500.0,49667.0,52500.0,50000.0,65000.0,44000.0,42667.0,51500.0,46500.0,58333.0,45000.0,56750.0,46000.0,47000.0,51333.0,59167.0,47500.0,49600.0,41667.0,39500.0
